C:\Users\Chris\Projects\self_driving\IMG\center_2020_12_07_20_57_19_267.jpg, C:\Users\Chris\Projects\self_driving\IMG\left_2020_12_07_20_57_19_267.jpg, C:\Users\Chris\Projects\self_driving\IMG\right_2020_12_07_20_57_19_267.jpg, 0, 0, 0, 8.256749E-05
C:\Users\Chris\Projects\self_driving\IMG\center_2020_12_07_20_57_19_367.jpg, C:\Users\Chris\Projects\self_driving\IMG\left_2020_12_07_20_57_19_367.jpg, C:\Users\Chris\Projects\self_driving\IMG\right_2020_12_07_20_57_19_367.jpg, 0, 0, 0, 8.18168E-05
C:\Users\Chris\Projects\self_driving\IMG\center_2020_12_07_20_57_19_469.jpg, C:\Users\Chris\Projects\self_driving\IMG\left_2020_12_07_20_57_19_469.jpg, C:\Users\Chris\Projects\self_driving\IMG\right_2020_12_07_20_57_19_469.jpg, 0, 0, 0, 8.232573E-05
C:\Users\Chris\Projects\self_driving\IMG\center_2020_12_07_20_57_19_569.jpg, C:\Users\Chris\Projects\self_driving\IMG\left_2020_12_07_20_57_19_569.jpg, C:\Users\Chris\Projects\self_driving\IMG\right_2020_12_07_20_57_19_569.jpg, 0, 0, 0, 8.179301E-05
C:\Users\Chris\Projects\self_driving\IMG\center_2020_12_07_20_57_19_672.jpg, C:\Users\Chris\Projects\self_driving\IMG\left_2020_12_07_20_57_19_672.jpg, C:\Users\Chris\Projects\self_driving\IMG\right_2020_12_07_20_57_19_672.jpg, 0, 0, 0, 8.190185E-05
C:\Users\Chris\Projects\self_driving\IMG\center_2020_12_07_20_57_19_773.jpg, C:\Users\Chris\Projects\self_driving\IMG\left_2020_12_07_20_57_19_773.jpg, C:\Users\Chris\Projects\self_driving\IMG\right_2020_12_07_20_57_19_773.jpg, 0, 0, 0, 8.18881E-05
C:\Users\Chris\Projects\self_driving\IMG\center_2020_12_07_20_57_19_874.jpg, C:\Users\Chris\Projects\self_driving\IMG\left_2020_12_07_20_57_19_874.jpg, C:\Users\Chris\Projects\self_driving\IMG\right_2020_12_07_20_57_19_874.jpg, 0, 0, 0, 8.201499E-05
C:\Users\Chris\Projects\self_driving\IMG\center_2020_12_07_20_57_19_976.jpg, C:\Users\Chris\Projects\self_driving\IMG\left_2020_12_07_20_57_19_976.jpg, C:\Users\Chris\Projects\self_driving\IMG\right_2020_12_07_20_57_19_976.jpg, 0, 0, 0, 8.294109E-05
C:\Users\Chris\Projects\self_driving\IMG\center_2020_12_07_20_57_20_077.jpg, C:\Users\Chris\Projects\self_driving\IMG\left_2020_12_07_20_57_20_077.jpg, C:\Users\Chris\Projects\self_driving\IMG\right_2020_12_07_20_57_20_077.jpg, 0, 0, 0, 8.271811E-05
C:\Users\Chris\Projects\self_driving\IMG\center_2020_12_07_20_57_20_179.jpg, C:\Users\Chris\Projects\self_driving\IMG\left_2020_12_07_20_57_20_179.jpg, C:\Users\Chris\Projects\self_driving\IMG\right_2020_12_07_20_57_20_179.jpg, 0, 0, 0, 8.266387E-05
